1,Pastel de Zanahoria,Pastel de Zanahoria,200.00 ,
2,Pastel de Chocolate,Pastel de Chocolate,200.00 ,
3,Pastel de Vainilla,Pastel de Vainilla,200.00 ,
4,Pastel de Naranja,Pastel de Naranja,200.00 ,
5,Pastel de Limón,Pastel de Limón,200.00 ,
6,Pastel Red Velvet,Pastel Red Velvet,200.00 ,
7,Pastel Piscina Zanahoria,Pastel Piscina Zanahoria,240.00 ,
8,Pastel Piscina Chocolate,Pastel Piscina Chocolate,240.00 ,
9,Pastel Piscina Naranja,Pastel Piscina Naranja,240.00 ,
10,Pastel Piscina Red Velvet,Pastel Piscina Red Velvet,240.00 ,
11,Naked Cake 20cm,Naked Cake 20cm,350.00 ,
12,Naked Cake 17cm,Naked Cake 17cm,250.00 ,
13,Naked Cake 12cm,Naked Cake 12cm,180.00 ,
14,Pastel Volcán Zanahoria,Pastel Volcán Zanahoria 20cm,250.00 ,
15,Pastel Volcán Chocolate,Pastel Volcán Chocolate 20cm,250.00 ,
16,Pastel Volcán Vainilla,Pastel Volcán Vainilla 20cm,250.00 ,
17,Pastel Volcán Limón,Pastel Volcán Limón 20cm,250.00 ,
